Date,GHG_Emissions_MTCO2e,Industrial_Production_Index,Temperature_Anomaly_C,Energy_Price_Index,Year,Month
2011-01-31,111.42,106.01,-7.44,104.95,2011,1
2011-02-28,107.35,101.3,-8.54,103.53,2011,2
2011-03-31,102.71,101.16,-3.46,107.16,2011,3
2011-04-30,97.64,102.88,0.88,98.45,2011,4
2011-05-31,96.24,101.28,2.99,103.42,2011,5
2011-06-30,97.44,103.2,7.5,101.4,2011,6
2011-07-31,98.8,99.98,8.45,107.47,2011,7
2011-08-31,95.96,98.21,5.59,98.53,2011,8
2011-09-30,95.41,103.22,4.94,98.48,2011,9
2011-10-31,97.64,99.15,1.26,99.25,2011,10
2011-11-30,99.5,99.12,-1.94,94.73,2011,11
2011-12-31,102.32,95.62,-4.89,99.57,2011,12
2012-01-31,105.79,96.98,-9.59,98.92,2012,1
2012-02-29,101.93,98.02,-7.83,101.7,2012,2
2012-03-31,95.57,95.37,-2.71,102.33,2012,3
2012-04-30,93.55,98.45,1.31,106.98,2012,4
2012-05-31,91.92,96.67,5.33,104.25,2012,5
2012-06-30,95.84,97.62,13.29,99.72,2012,6
2012-07-31,96.92,97.47,9.46,98.8,2012,7
2012-08-31,98.64,102.97,9.25,103.03,2012,8
2012-09-30,95.49,99.96,6.07,97.64,2012,9
2012-10-31,95.72,98.68,1.64,107.14,2012,10
2012-11-30,100.81,103.33,-3.79,105.24,2012,11
2012-12-31,101.75,100.19,-5.09,100.34,2012,12
2013-01-31,106.75,104.02,-8.44,96.66,2013,1
2013-02-28,105.5,100.65,-6.54,105.91,2013,2
2013-03-31,98.29,102.85,-3.97,101.56,2013,3
2013-04-30,98.2,106.79,0.9,105.66,2013,4
2013-05-31,96.87,108.69,8.27,97.22,2013,5
2013-06-30,96.8,108.27,4.95,100.25,2013,6
2013-07-31,99.36,108.3,9.87,102.12,2013,7
2013-08-31,100.0,108.4,5.37,102.29,2013,8
2013-09-30,96.03,106.37,4.17,100.85,2013,9
2013-10-31,97.07,108.06,2.53,104.12,2013,10
2013-11-30,99.6,108.6,-2.98,99.1,2013,11
2013-12-31,103.73,111.51,-7.6,101.92,2013,12
2014-01-31,107.87,109.82,-8.11,102.76,2014,1
2014-02-28,103.9,105.2,-4.93,103.99,2014,2
2014-03-31,100.61,108.86,-4.1,104.63,2014,3
2014-04-30,96.46,106.83,1.34,99.18,2014,4
2014-05-31,97.11,105.56,5.11,98.0,2014,5
2014-06-30,98.77,107.39,7.01,106.48,2014,6
2014-07-31,101.14,107.46,12.3,103.7,2014,7
2014-08-31,98.22,106.49,8.98,100.5,2014,8
2014-09-30,96.76,102.21,2.08,107.45,2014,9
2014-10-31,96.92,102.58,1.42,103.2,2014,10
2014-11-30,101.23,103.25,-3.83,106.44,2014,11
2014-12-31,106.98,104.02,-4.47,103.15,2014,12
2015-01-31,109.17,100.71,-7.99,109.18,2015,1
2015-02-28,105.07,101.03,-5.88,108.32,2015,2
2015-03-31,102.36,99.06,-2.0,102.35,2015,3
2015-04-30,99.19,98.91,2.56,106.06,2015,4
2015-05-31,96.99,103.1,3.48,105.14,2015,5
2015-06-30,100.03,104.51,7.73,107.36,2015,6
2015-07-31,97.03,102.13,8.61,100.41,2015,7
2015-08-31,95.23,104.88,7.29,105.41,2015,8
2015-09-30,92.94,104.31,8.01,106.58,2015,9
2015-10-31,96.5,103.11,1.99,98.17,2015,10
2015-11-30,98.5,106.01,-4.49,99.95,2015,11
2015-12-31,102.15,109.31,-4.13,97.43,2015,12
2016-01-31,104.37,107.13,-3.38,102.79,2016,1
2016-02-29,100.38,111.3,-3.92,105.8,2016,2
2016-03-31,99.17,103.87,-4.8,108.21,2016,3
2016-04-30,93.09,111.64,0.77,103.97,2016,4
2016-05-31,92.75,110.99,7.42,108.69,2016,5
2016-06-30,94.55,110.93,7.41,99.71,2016,6
2016-07-31,95.61,112.31,10.23,98.79,2016,7
2016-08-31,94.62,108.62,9.67,103.78,2016,8
2016-09-30,92.3,112.48,4.21,105.15,2016,9
2016-10-31,95.07,113.81,1.53,103.95,2016,10
2016-11-30,100.42,116.08,-7.22,97.9,2016,11
2016-12-31,105.15,111.96,-6.8,103.88,2016,12
2017-01-31,108.12,111.11,-6.7,100.29,2017,1
2017-02-28,104.13,111.33,-7.1,106.26,2017,2
2017-03-31,100.14,113.64,0.17,105.4,2017,3
2017-04-30,97.5,111.86,-0.41,101.53,2017,4
2017-05-31,97.65,109.45,5.1,102.86,2017,5
2017-06-30,100.87,110.79,8.9,101.27,2017,6
2017-07-31,98.94,109.19,11.96,104.31,2017,7
2017-08-31,101.73,110.17,6.59,107.42,2017,8
2017-09-30,98.39,106.09,7.58,101.64,2017,9
2017-10-31,98.55,106.14,1.88,106.16,2017,10
2017-11-30,101.05,105.4,-3.59,103.11,2017,11
2017-12-31,104.63,102.74,-4.34,102.37,2017,12
2018-01-31,109.47,105.86,-5.78,104.48,2018,1
2018-02-28,105.9,105.52,-5.89,101.74,2018,2
2018-03-31,99.34,104.89,-1.94,103.24,2018,3
2018-04-30,95.08,104.43,1.4,101.36,2018,4
2018-05-31,95.25,102.25,6.17,110.89,2018,5
2018-06-30,98.67,104.56,9.94,105.16,2018,6
2018-07-31,96.9,105.18,12.42,103.0,2018,7
2018-08-31,93.62,104.87,7.13,105.79,2018,8
2018-09-30,93.83,106.86,9.28,104.86,2018,9
2018-10-31,93.52,108.81,-0.83,104.59,2018,10
2018-11-30,94.45,112.66,-2.11,107.14,2018,11
2018-12-31,101.95,110.18,-3.91,107.62,2018,12
2019-01-31,103.62,111.32,-5.42,103.81,2019,1
2019-02-28,102.51,111.62,-5.68,103.72,2019,2
2019-03-31,99.33,108.87,-2.11,104.67,2019,3
2019-04-30,95.03,113.55,1.48,98.64,2019,4
2019-05-31,92.99,114.53,5.36,101.05,2019,5
2019-06-30,94.3,120.06,10.46,109.75,2019,6
2019-07-31,99.57,115.35,10.82,110.63,2019,7
2019-08-31,95.64,116.8,8.19,105.0,2019,8
2019-09-30,94.62,116.45,7.67,107.53,2019,9
2019-10-31,95.17,114.36,2.8,106.78,2019,10
2019-11-30,99.69,119.01,-0.42,115.14,2019,11
2019-12-31,103.78,118.1,-3.6,109.31,2019,12
2020-01-31,105.13,117.91,-6.84,105.62,2020,1
2020-02-29,102.98,114.11,-5.35,103.18,2020,2
2020-03-31,90.59,100.91,-0.44,101.28,2020,3
2020-04-30,86.93,94.78,3.38,106.76,2020,4
2020-05-31,86.81,98.17,6.45,103.94,2020,5
2020-06-30,89.94,100.74,9.6,101.99,2020,6
2020-07-31,90.83,93.73,12.44,104.38,2020,7
2020-08-31,92.16,93.92,8.58,103.15,2020,8
2020-09-30,86.51,94.63,7.38,111.55,2020,9
2020-10-31,91.74,92.83,2.28,109.27,2020,10
2020-11-30,95.73,90.22,-1.73,106.81,2020,11
2020-12-31,97.91,109.41,-2.66,111.59,2020,12
2021-01-31,102.19,106.75,-4.12,107.85,2021,1
2021-02-28,100.58,109.55,-3.05,105.75,2021,2
2021-03-31,95.3,106.64,0.64,113.94,2021,3
2021-04-30,92.89,111.6,2.73,112.43,2021,4
2021-05-31,92.12,107.11,7.74,109.63,2021,5
2021-06-30,99.22,108.36,9.2,114.62,2021,6
2021-07-31,100.5,111.1,11.25,115.53,2021,7
2021-08-31,100.75,107.61,9.51,117.4,2021,8
2021-09-30,99.88,111.24,6.95,127.97,2021,9
2021-10-31,99.22,114.21,3.71,134.56,2021,10
2021-11-30,103.3,109.27,-2.39,127.96,2021,11
2021-12-31,109.92,113.8,-0.93,136.53,2021,12
2022-01-31,109.2,114.92,-6.63,134.65,2022,1
2022-02-28,108.97,116.93,-5.85,135.79,2022,2
2022-03-31,102.63,113.84,0.66,134.93,2022,3
2022-04-30,97.75,114.56,4.13,132.45,2022,4
2022-05-31,97.45,119.06,7.9,132.6,2022,5
2022-06-30,98.07,119.32,10.85,126.74,2022,6
2022-07-31,97.49,119.83,10.98,126.51,2022,7
2022-08-31,97.67,120.49,8.6,122.0,2022,8
2022-09-30,92.97,118.76,7.15,118.14,2022,9
2022-10-31,94.96,120.76,2.04,113.27,2022,10
2022-11-30,98.24,120.91,0.54,111.91,2022,11
2022-12-31,100.98,118.77,-4.05,114.08,2022,12
2023-01-31,103.48,123.66,-6.12,111.97,2023,1
2023-02-28,98.99,120.48,-4.27,106.6,2023,2
2023-03-31,96.78,116.63,-0.22,109.22,2023,3
2023-04-30,91.73,119.71,2.33,110.8,2023,4
2023-05-31,90.3,115.76,5.97,103.33,2023,5
2023-06-30,94.15,118.54,10.51,109.86,2023,6
2023-07-31,93.1,118.52,11.61,106.2,2023,7
2023-08-31,91.34,113.79,9.43,109.91,2023,8
2023-09-30,90.16,116.62,6.57,105.93,2023,9
2023-10-31,93.79,114.83,3.65,102.85,2023,10
2023-11-30,95.44,115.03,-2.85,103.42,2023,11
2023-12-31,104.4,116.66,-5.7,108.5,2023,12
2024-01-31,102.35,111.98,-5.72,109.18,2024,1
2024-02-29,105.38,110.69,-3.87,105.74,2024,2
2024-03-31,99.8,110.3,-0.13,110.42,2024,3
2024-04-30,96.42,110.47,5.63,103.57,2024,4
2024-05-31,95.85,112.12,8.73,108.4,2024,5
2024-06-30,98.68,113.28,10.15,105.02,2024,6
2024-07-31,99.46,113.62,11.45,106.74,2024,7
2024-08-31,100.06,115.32,8.92,108.89,2024,8
2024-09-30,97.54,114.41,7.49,106.22,2024,9
2024-10-31,98.31,118.11,3.11,107.7,2024,10
2024-11-30,101.19,115.56,0.04,111.92,2024,11
2024-12-31,105.92,122.47,-4.59,107.22,2024,12
